Value,yy,mm
1.791680491,1911,3
1.475869444,1911,4
2.46921779,1911,5
2.020762813,1911,6
1.813568385,1911,7
1.660682266,1911,8
2.216272726,1911,9
1.345200361,1911,10
2.026851926,1911,11
1.567864429,1911,12
0.609075916,1912,1
0.719502811,1912,2
0.735301592,1912,3
1.117599174,1912,4
2.441569924,1912,5
2.566314464,1912,6
2.945649775,1912,7
2.130695996,1912,8
2.318141948,1912,9
1.608348804,1912,10
2.313698541,1912,11
2.063880319,1912,12
0.69053838,1913,1
1.022312777,1913,2
1.91626046,1913,3
1.723054536,1913,4
2.015661123,1913,5
1.675658194,1913,6
2.257086243,1913,7
1.361492854,1913,8
1.88499204,1913,9
2.290987794,1913,10
0.811333225,1913,11
1.731118497,1913,12
0.895428819,1914,1
0.380816447,1914,2
0.990386074,1914,3
0.524157469,1914,4
1.395065263,1914,5
1.725852237,1914,6
1.71104088,1914,7
0.854944443,1914,8
1.998381207,1914,9
1.373177369,1914,10
1.281840667,1914,11
0.559540155,1914,12
-0.020571329,1915,1
1.365936261,1915,2
0.277959801,1915,3
0.284048914,1915,4
1.369392244,1915,5
2.97280393,1915,6
2.074906551,1915,7
1.753664674,1915,8
2.650410058,1915,9
2.909279665,1915,10
2.927547005,1915,11
2.089553338,1915,12
1.609007087,1916,1
2.483535435,1916,2
1.05407491,1916,3
1.952136859,1916,4
2.512170725,1916,5
2.831437755,1916,6
3.327618216,1916,7
2.434493386,1916,8
3.16765556,1916,9
3.033695064,1916,10
2.699122966,1916,11
3.417473782,1916,12
2.071121427,1917,1
2.926395011,1917,2
1.623160161,1917,3
2.280619844,1917,4
3.147907084,1917,5
2.438607652,1917,6
3.000287225,1917,7
2.853325649,1917,8
3.307705169,1917,9
3.023491685,1917,10
3.410068104,1917,11
2.776635734,1917,12
2.234210925,1918,1
0.855931867,1918,2
0.700577188,1918,3
1.245141416,1918,4
2.497194798,1918,5
1.136524797,1918,6
1.436207921,1918,7
1.08024164,1918,8
1.661011407,1918,9
1.381076759,1918,10
1.816201515,1918,11
0.554109324,1918,12
-0.639686054,1919,1
0.239779413,1919,2
0.201928168,1919,3
1.629578416,1919,4
1.490022519,1919,5
1.916425031,1919,6
1.357378588,1919,7
1.253040806,1919,8
1.895689131,1919,9
1.278878396,1919,10
2.514968426,1919,11
1.4643495,1919,12
1.150842442,1920,1
0.237475425,1920,2
0.439732734,1920,3
0.935254912,1920,4
1.213214713,1920,5
2.384463914,1920,6
1.954605418,1920,7
